NAME,USD/PLN
ISIN,USDPLN
2005-03-09,2.90660000
2005-03-10,2.95270000
2005-03-11,2.94920000
2005-03-14,2.96900000
2005-03-15,2.99690000
2005-03-16,3.04590000
2005-03-17,3.07830000
2005-03-18,3.04960000
2005-03-21,3.08400000
2005-03-22,3.10630000
2005-03-23,3.16560000
2005-03-24,3.17580000
2005-03-25,3.17890000
2005-03-29,3.22170000
2005-03-30,3.17930000
2005-03-31,3.15180000
2005-04-01,3.14780000
2005-04-04,3.19480000
2005-04-05,3.22120000
2005-04-06,3.18680000
2005-04-07,3.17610000
2005-04-11,3.16070000
2005-04-12,3.14790000
2005-04-13,3.14940000
2005-04-14,3.19880000
2005-04-15,3.21660000
2005-04-18,3.21150000
2005-04-19,3.23000000
2005-04-20,3.20050000
2005-04-21,3.18740000
2005-04-22,3.21110000
2005-04-25,3.23910000
2005-04-26,3.23510000
2005-04-27,3.28040000
2005-04-28,3.28750000
2005-04-29,3.29880000
2005-05-02,3.32000000
2005-05-04,3.27030000
2005-05-05,3.21790000
2005-05-06,3.20300000
2005-05-09,3.21330000
2005-05-10,3.23850000
2005-05-11,3.24830000
2005-05-12,3.25130000
2005-05-13,3.29840000
2005-05-16,3.33550000
2005-05-17,3.33190000
2005-05-18,3.33230000
2005-05-19,3.28580000
2005-05-20,3.29150000
2005-05-23,3.34590000
2005-05-24,3.32630000
2005-05-25,3.32740000
2005-05-27,3.33620000
2005-05-30,3.31200000
2005-05-31,3.32650000
2005-06-01,3.37880000
2005-06-02,3.36380000
2005-06-03,3.35690000
2005-06-06,3.33530000
2005-06-07,3.30040000
2005-06-08,3.30170000
2005-06-09,3.30220000
2005-06-10,3.29470000
2005-06-13,3.34550000
2005-06-14,3.34210000
2005-06-15,3.34830000
2005-06-16,3.34110000
2005-06-17,3.34530000
2005-06-20,3.34840000
2005-06-21,3.35080000
2005-06-22,3.32050000
2005-06-23,3.32390000
2005-06-24,3.33960000
2005-06-27,3.31510000
2005-06-28,3.35550000
2005-06-29,3.36640000
2005-06-30,3.34610000
2005-07-01,3.34410000
2005-07-04,3.36430000
2005-07-05,3.37060000
2005-07-06,3.40050000
2005-07-07,3.44910000
2005-07-08,3.43510000
2005-07-11,3.40100000
2005-07-12,3.37250000
2005-07-13,3.39180000
2005-07-14,3.43710000
2005-07-15,3.43430000
2005-07-18,3.41940000
2005-07-19,3.42700000
2005-07-20,3.42400000
2005-07-21,3.39640000
2005-07-22,3.37470000
2005-07-25,3.40620000
2005-07-26,3.42550000
2005-07-27,3.43050000
2005-07-28,3.38850000
2005-07-29,3.36890000
2005-08-01,3.32700000
2005-08-02,3.31780000
2005-08-03,3.33310000
2005-08-04,3.30780000
2005-08-05,3.29200000
2005-08-08,3.28510000
2005-08-09,3.26580000
2005-08-10,3.25560000
2005-08-11,3.25030000
2005-08-12,3.23530000
2005-08-16,3.27170000
2005-08-17,3.27650000
2005-08-18,3.26850000
2005-08-19,3.30740000
2005-08-22,3.31100000
2005-08-23,3.28430000
2005-08-24,3.29310000
2005-08-25,3.29380000
2005-08-26,3.29520000
2005-08-29,3.30320000
2005-08-30,3.31530000
2005-08-31,3.31400000
2005-09-01,3.21710000
2005-09-02,3.16090000
2005-09-05,3.13550000
2005-09-06,3.16990000
2005-09-07,3.13520000
2005-09-08,3.16380000
2005-09-09,3.18480000
2005-09-12,3.19110000
2005-09-13,3.20230000
2005-09-14,3.20360000
2005-09-15,3.18440000
2005-09-16,3.17380000
2005-09-19,3.20770000
2005-09-20,3.20140000
2005-09-21,3.19230000
2005-09-22,3.19770000
2005-09-23,3.22410000
2005-09-26,3.24360000
2005-09-27,3.23270000
2005-09-28,3.25150000
2005-09-29,3.23900000
2005-09-30,3.25750000
2005-10-03,3.27990000
2005-10-04,3.29780000
2005-10-05,3.28570000
2005-10-06,3.26130000
2005-10-07,3.23980000
2005-10-10,3.19860000
2005-10-11,3.21400000
2005-10-12,3.23450000
2005-10-13,3.25630000
2005-10-14,3.27380000
2005-10-17,3.23680000
2005-10-18,3.24860000
2005-10-19,3.26610000
2005-10-20,3.25420000
2005-10-21,3.24210000
2005-10-24,3.27060000
2005-10-25,3.26480000
2005-10-26,3.25730000
2005-10-27,3.29670000
2005-10-28,3.28310000
2005-10-31,3.30670000
2005-11-02,3.29780000
2005-11-03,3.28930000
2005-11-04,3.32930000
2005-11-07,3.40390000
2005-11-08,3.43010000
2005-11-09,3.39550000
2005-11-10,3.41810000
2005-11-14,3.39880000
2005-11-15,3.41770000
